NDVI,NDRE,Label
0.20288983,0.13073005,1
0.20240964,0.13023783,1
0.20605356,0.13752402,1
0.22792174,0.19291036,1
0.22671354,0.20865801,1
0.2630137,0.14712286,1
0.28339934,0.19557196,1
0.27993897,0.16649288,1
0.28078818,0.18876551,1
0.28685954,0.19559586,1
0.31655225,0.19694868,1
0.32250923,0.21491526,1
0.31432545,0.20882635,1
0.24633431,0.15764385,1
0.23734178,0.15594974,1
0.23613313,0.15470022,1
0.27605408,0.17380169,1
0.2911197,0.19385934,1
0.2828125,0.16288953,1
0.3527508,0.17168885,1
0.36990154,0.21788059,1
0.402167,0.27499276,0
0.41706926,0.24681213,0
0.3042328,0.19478945,1
0.29032257,0.14984709,1
0.25454545,0.16315472,1
0.24098124,0.1977716,1
0.26588234,0.1670282,1
0.25874126,0.15796998,1
0.26190478,0.18023661,1
0.2530949,0.17738287,1
0.24768023,0.1572327,1
0.27929375,0.13330963,1
0.2810047,0.14486144,1
0.26754385,0.19011667,1
0.2691751,0.19563736,1
0.2489886,0.15785885,1
0.22878788,0.13545677,1
0.24073352,0.16270566,1
0.27868852,0.1534196,1
0.27486297,0.14285715,1
0.2501723,0.19538715,1
0.30789134,0.20500596,1
0.36181575,0.20924719,1
0.34303796,0.21779053,1
0.26998112,0.19372967,1
0.2530429,0.16014235,1
0.282523,0.1591449,1
0.22386225,0.13293481,1
0.23363286,0.11582003,1
0.22924902,0.13780488,1
0.23616734,0.12877388,1
0.23003413,0.1492347,1
0.23731138,0.14977692,1
0.27593508,0.16833602,1
0.2505415,0.1473998,1
0.23221266,0.095205,1
0.25560537,0.12676056,1
0.26887792,0.16526248,1
0.3051225,0.15430072,1
0.26541927,0.13521914,1
0.26329276,0.17276241,1
0.20260727,0.1380108,1
0.21973094,0.12950948,1
0.19544365,0.13327649,1
0.20416124,0.09683151,1
0.19823788,0.12164948,1
0.2071383,0.11905465,1
0.20683111,0.1293282,1
0.24151435,0.12777942,1
0.2064632,0.11504425,1
0.20464602,0.152991,1
0.19393283,0.19199568,1
0.2379778,0.14677328,1
0.26110363,0.16578539,1
0.2670157,0.23785166,1
0.22938867,0.15703352,1
0.21537592,0.14758474,1
0.24324325,0.20302822,1
0.2907916,0.15965167,1
0.25761318,0.14757793,1
0.24918567,0.14949419,1
0.2344975,0.14323433,1
0.23862842,0.15384616,1
0.26766917,0.17860888,1
0.24420401,0.1561939,1
0.2684434,0.18598773,1
0.3046202,0.19298245,1
0.2907298,0.19765739,1
0.2700157,0.19233604,1
